Pokemon HP Attack Defense Speed Special Total Type
Bulbasaur 45 49 49 45 65 253 Grass Poison
Ivysaur 60 62 63 60 80 325 Grass Poison
Venusaur 80 82 83 80 100 425 Grass Poison
Charmander 39 52 43 65 50 249 Fire None
Charmeleon 58 64 58 80 65 325 Fire None
Charizard 78 84 78 100 85 425 Fire Flying
Squirtle 44 48 65 43 50 250 Water None
Wartortle 59 63 80 58 65 325 Water None
Blastoise 79 83 100 78 85 425 Water None
Caterpie 45 30 35 45 20 175 Bug None
Metapod 50 20 55 30 25 180 Bug None
Butterfree 60 45 50 70 80 305 Bug Flying
Weedle 40 35 30 50 20 175 Bug Poison
Kakuna 45 25 50 35 25 180 Bug Poison
Beedrill 65 80 40 75 45 305 Bug Poison
Pidgey 40 45 40 56 35 216 Normal Flying
Pidgeotto 63 60 55 71 50 299 Normal Flying
Pidgeot 83 80 75 91 70 399 Normal Flying
Rattata 30 56 35 72 25 218 Normal None
Raticate 55 81 60 97 50 343 Normal None
Spearow 40 60 30 70 31 231 Normal Flying
Fearow 65 90 65 100 61 381 Normal Flying
Ekans 35 60 44 55 40 234 Poison None
Arbok 60 85 69 80 65 359 Poison None
Pikachu 35 55 30 90 50 260 Electric None
Raichu 60 90 55 100 90 395 Electric None
Sandshrew 50 75 85 40 30 280 Ground None
Sandslash 75 100 110 65 55 405 Ground None
Nidoranf 55 47 52 41 40 235 Poison None
Nidorina 70 62 67 56 55 310 Poison None
Nidoqueen 90 82 87 76 75 410 Poison Ground
Nidoranm 55 47 52 41 40 235 Poison None
Nidorino 61 72 57 65 55 310 Poison None
Nidoking 81 92 77 85 75 410 Poison Ground
Clefairy 70 45 48 35 60 258 Normal None
Clefable 95 70 73 60 85 383 Normal None
Vulpix 38 41 40 65 65 249 Fire	None
Ninetales 73 76 75 100 100 424 Fire None
Jigglypuff 115 45 20 20 25 225 Normal None
Wigglytuff 140 70 45 45 50 350 Normal None
Zubat 40 45 35 55 40 215 Poison Flying
Golbat 75 80 70 90 75 390 Poison Flying
Oddish 45 50 55 30 75 255 Grass Poison
Gloom 60 65 70 40 85 320 Grass Poison
Vileplume 75 80 85 50 100 390 Grass Poison
Paras 35 70 55 25 55 240 Bug Grass
Parasect 60 95 80 30	80 345 Bug Grass
Venonat 60 55 50 45 40 250 Bug Poison
Venomoth 70 65 60 90 90 375 Bug Poison
Diglett 10 55 25 95 45 230 Ground None
Dugtrio 35 80 50 120	 70 355 Ground None
Meowth 40 45 35 90 40 250 Normal None
Persian 65 70 60 115 65 375 Normal None
Psyduck 50 52 48 55 50 255 Water None
Golduck 80 82 78 85 80 405 Water None
Mankey 40 80 35 70 35 260 Fighting None
Primeape 65 105 60 95 60 385 Fighting None
Growlithe 55 70 45 60 50 280 Fire None
Arcanine 90 110 80 95 80 455 Fire None
Poliwag 40 50 40 90 40 260 Water None
Poliwhirl 65 65 65 90 50 335 Water None
Poliwrath 90 85 95 70 70 410 Water Fighting
Abra 25 20 15 90 105 255 Psychic None
Kadabra 40 35 30 105 120 330 Psychic None
Alakazam 55 50 45 120 135 405 Psychic None
Machop 70 80 50 35 35 270 Fighting None
Machoke 80 100 70 45 50 345 Fighting None
Machamp 90 130 80 55 65 420 Fighting None
Bellsprout 50 75 35 40 70 270 Grass Poison
Weepinbell 65 90 50 55 85 345 Grass Poison
Victreebel 80 105 65 70 100 420 Grass Poison
Tentacool 40 40 35 70 100 285 Water Poison
Tentacruel 80 70 65 100 120 435 Water Poison
Geodude 40 80 100 20 30 270 Rock Ground
Graveler 55 95 115 35 45 345 Rock Ground
Golem 80 110 130 45 55 420 Rock Ground
Ponyta 50 85 55 90 65 345 Fire None
Rapidash 65 100 70 105 80 420 Fire None
Slowpoke 90 65 65 15 40 275 Water Psychic
Slowbro 95 75 110 30 80 390 Water Psychic
Magnemite 25 35 70 45 95 270 Electric Steel
Magneton 50 60 95 70 120 395 Electric Steel
Farfetch'd 52 65 55 60 58 290 Normal Flying
Doduo 35 85 45 75 35 275 Normal Flying
Dodrio 60 110 70 100 60 400 Normal Flying
Seel 65 45 55 45 70 280 Water None
Dewgong 90 70 80 70 95 405 Water Ice
Grimer 80 80 50 25 40 275 Poison None
Muk 105 105 75 50 65 400 Poison None
Shellder 30 65 100 40 45 280 Water None
Cloyster 50 95 180 70 85 480 Water Ice
Gastly 30 35 30 80 100 275 Ghost Poison
Haunter 45 50 45 95 115 350 Ghost Poison
Gengar 60 65 60 110 130 425 Ghost Poison
